"STATION","DATE","EMXP"
"USC00027390","1986-04","4.1"
"USC00027390","1986-05","1.0"
"USC00027390","1986-06","9.7"
"USC00027390","1986-07","13.2"
"USC00027390","1986-08","12.4"
"USC00027390","1986-09","6.6"
"USC00027390","1986-10","13.5"
"USC00027390","1986-11","36.1"
"USC00027390","1986-12","5.3"
"USC00027390","1987-01","4.1"
"USC00027390","1987-02","14.5"
"USC00027390","1987-03","4.8"
"USC00027390","1987-04","4.3"
"USC00027390","1987-05","10.4"
"USC00027390","1987-06","5.6"
"USC00027390","1987-07","17.3"
"USC00027390","1987-08","19.1"
"USC00027390","1987-09","10.4"
"USC00027390","1987-10","3.8"
"USC00027390","1987-11","4.8"
"USC00027390","1987-12","19.1"
"USC00027390","1988-01","6.6"
"USC00027390","1988-02","31.2"
"USC00027390","1988-03","0.0"
"USC00027390","1988-04","13.5"
"USC00027390","1988-05","0.0"
"USC00027390","1988-06","3.8"
"USC00027390","1988-07","4.1"
"USC00027390","1988-08","15.0"
"USC00027390","1988-09","16.3"
"USC00027390","1988-10","26.9"
"USC00027390","1988-11","11.4"
"USC00027390","1988-12","5.1"
"USC00027390","1989-01","9.4"
"USC00027390","1989-02","0.0"
"USC00027390","1989-03","2.0"
"USC00027390","1989-04","0.0"
"USC00027390","1989-05","3.8"
"USC00027390","1989-06","0.0"
"USC00027390","1989-07","14.2"
"USC00027390","1989-08","2.8"
"USC00027390","1989-09","6.9"
"USC00027390","1989-10","29.7"
"USC00027390","1989-11","0.0"
"USC00027390","1989-12","4.6"
"USC00027390","1990-01","3.8"
"USC00027390","1990-02","4.6"
"USC00027390","1990-03","17.3"
"USC00027390","1990-04","2.0"
"USC00027390","1990-05","1.3"
"USC00027390","1990-06","8.6"
"USC00027390","1990-07","22.1"
"USC00027390","1990-08","22.1"
"USC00027390","1990-09","28.4"
"USC00027390","1990-10","10.2"
"USC00027390","1990-11","17.5"
"USC00027390","1990-12","12.2"
"USC00027390","1991-01","7.9"
"USC00027390","1991-02","13.0"
"USC00027390","1991-03","15.7"
"USC00027390","1991-04","0.0"
"USC00027390","1991-05","0.0"
"USC00027390","1991-06","0.5"
"USC00027390","1991-07","18.3"
"USC00027390","1991-08","34.0"
"USC00027390","1991-09","5.8"
"USC00027390","1991-10","4.1"
"USC00027390","1991-11","3.0"
"USC00027390","1991-12","46.5"
"USC00027390","1992-01","11.2"
"USC00027390","1992-02","8.1"
"USC00027390","1992-03","16.5"
"USC00027390","1992-04","9.7"
"USC00027390","1992-05","13.2"
"USC00027390","1992-06","5.8"
"USC00027390","1992-07","14.2"
"USC00027390","1992-08","49.5"
"USC00027390","1992-09","3.3"
"USC00027390","1992-10","1.3"
"USC00027390","1992-11","1.0"
"USC00027390","1992-12","40.6"
"USC00027390","1993-01","28.2"
"USC00027390","1993-02","10.4"
"USC00027390","1993-03","3.0"
"USC00027390","1993-04","0.0"
"USC00027390","1993-05","0.8"
"USC00027390","1993-06","6.6"
"USC00027390","1993-07","9.1"
"USC00027390","1993-08","18.8"
"USC00027390","1993-09","4.8"
"USC00027390","1993-10","18.0"
"USC00027390","1993-11","7.4"
"USC00027390","1993-12","3.0"
"USC00027390","1994-01","2.0"
"USC00027390","1994-02","15.2"
"USC00027390","1994-03","13.0"
"USC00027390","1994-04","3.6"
"USC00027390","1994-05","6.6"
"USC00027390","1994-06","2.8"
"USC00027390","1994-07","8.1"
"USC00027390","1994-08","18.0"
"USC00027390","1994-09","13.2"
"USC00027390","1994-10","11.7"
"USC00027390","1994-11","38.6"
"USC00027390","1994-12","23.1"
"USC00027390","1995-01","11.4"
"USC00027390","1995-02","7.9"
"USC00027390","1995-03","5.6"
"USC00027390","1995-04","0.8"
"USC00027390","1995-05","1.8"
"USC00027390","1995-06","0.3"
"USC00027390","1995-07","1.5"
"USC00027390","1995-08","38.1"
"USC00027390","1995-09","18.3"
"USC00027390","1995-10","0.0"
"USC00027390","1995-11","5.1"
"USC00027390","1995-12","2.0"
"USC00027390","1996-01","0.0"
"USC00027390","1996-02","12.7"
"USC00027390","1996-03","0.0"
"USC00027390","1996-04","2.3"
"USC00027390","1996-05","0.0"
"USC00027390","1996-06","28.4"
"USC00027390","1996-07","6.6"
"USC00027390","1996-08","25.7"
"USC00027390","1996-09","29.7"
"USC00027390","1996-10","20.3"
"USC00027390","1996-11","7.4"
"USC00027390","1996-12","0.0"
"USC00027390","1997-01","11.7"
"USC00027390","1997-02","10.9"
"USC00027390","1997-03","7.1"
"USC00027390","1997-04","0.5"
"USC00027390","1997-05","8.4"
"USC00027390","1997-06","15.2"
"USC00027390","1997-07","14.2"
"USC00027390","1997-08","34.8"
"USC00027390","1997-09","19.8"
"USC00027390","1997-10","7.1"
"USC00027390","1997-11","6.9"
"USC00027390","1997-12","17.3"
"USC00027390","1998-01","1.3"
"USC00027390","1998-02","13.7"
"USC00027390","1998-03","6.4"
"USC00027390","1998-04","2.0"
"USC00027390","1998-05","0.0"
"USC00027390","1998-06","0.0"
"USC00027390","1998-07","12.2"
"USC00027390","1998-08","24.6"
"USC00027390","1998-09","6.6"
"USC00027390","1998-10","6.1"
"USC00027390","1998-11","7.4"
"USC00027390","1998-12","5.1"
"USC00027390","1999-01","0.0"
"USC00027390","1999-02","0.0"
"USC00027390","1999-03","2.8"
"USC00027390","1999-04","21.6"
"USC00027390","1999-05","0.0"
"USC00027390","1999-06","1.0"
"USC00027390","1999-07","17.0"
"USC00027390","1999-08","28.4"
"USC00027390","1999-09","24.4"
"USC00027390","1999-10","0.5"
"USC00027390","1999-11","0.0"
"USC00027390","1999-12","0.0"
"USC00027390","2000-01","3.3"
"USC00027390","2000-02","0.8"
"USC00027390","2000-03","1.3"
"USC00027390","2000-04","0.0"
"USC00027390","2000-05","0.0"
"USC00027390","2000-06","7.9"
"USC00027390","2000-07","9.7"
"USC00027390","2000-08","18.0"
"USC00027390","2000-09","0.8"
"USC00027390","2000-10","38.6"
"USC00027390","2000-11","13.0"
"USC00027390","2000-12","1.5"
"USC00027390","2001-01","6.1"
"USC00027390","2001-02","2.3"
"USC00027390","2001-03","4.8"
"USC00027390","2001-04","23.1"
"USC00027390","2001-05","10.4"
"USC00027390","2001-06","1.0"
"USC00027390","2001-07","4.8"
"USC00027390","2001-08","20.8"
"USC00027390","2001-09","0.3"
"USC00027390","2001-10","2.5"
"USC00027390","2001-11","4.1"
"USC00027390","2001-12","4.6"
"USC00027390","2002-01","1.5"
"USC00027390","2002-02","3.6"
"USC00027390","2002-03","1.8"
"USC00027390","2002-04","0.5"
"USC00027390","2002-05","0.0"
"USC00027390","2002-06","0.3"
"USC00027390","2002-07","18.3"
"USC00027390","2002-08","5.3"
"USC00027390","2002-09","10.4"
"USC00027390","2002-10","15.5"
"USC00027390","2002-11","2.0"
"USC00027390","2002-12","8.4"
"USC00027390","2003-01","0.8"
"USC00027390","2003-02","8.4"
"USC00027390","2003-03","4.1"
"USC00027390","2003-04","2.0"
"USC00027390","2003-05","0.3"
"USC00027390","2003-06","0.0"
"USC00027390","2003-07","12.2"
"USC00027390","2003-08","5.3"
"USC00027390","2003-09","3.3"
"USC00027390","2003-10","9.9"
"USC00027390","2003-11","23.6"
"USC00027390","2003-12","0.8"
"USC00027390","2004-01","8.6"
"USC00027390","2004-02","4.6"
"USC00027390","2004-03","19.1"
"USC00027390","2004-04","11.7"
"USC00027390","2004-05","0.3"
"USC00027390","2004-06","0.0"
"USC00027390","2004-07","20.1"
"USC00027390","2004-08","16.3"
"USC00027390","2004-09","4.8"
"USC00027390","2004-10","9.7"
"USC00027390","2004-11","11.4"
"USC00027390","2004-12","9.4"
"USC00027390","2005-01","12.2"
"USC00027390","2005-02","17.3"
"USC00027390","2005-03","4.8"
"USC00027390","2005-04","13.7"
"USC00027390","2005-05","2.5"
"USC00027390","2005-06","0.0"
"USC00027390","2005-07","9.9"
"USC00027390","2005-08","10.9"
"USC00027390","2005-09","2.8"
"USC00027390","2005-10","17.0"
"USC00027390","2005-11","0.0"
"USC00027390","2005-12","0.5"
"USC00027390","2006-01","4.6"
"USC00027390","2006-02","0.0"
"USC00027390","2006-03","11.7"
"USC00027390","2006-04","0.3"
"USC00027390","2006-05","0.0"
"USC00027390","2006-06","3.8"
"USC00027390","2006-07","20.1"
"USC00027390","2006-08","12.4"
"USC00027390","2006-09","18.5"
"USC00027390","2006-10","26.9"
"USC00027390","2006-12","5.1"
"USC00027390","2007-01","15.7"
"USC00027390","2007-02","9.4"
"USC00027390","2007-03","16.0"
"USC00027390","2007-04","6.1"
"USC00027390","2007-05","0.0"
"USC00027390","2007-06","9.4"
"USC00027390","2007-07","20.6"
"USC00027390","2007-08","26.7"
"USC00027390","2007-09","1.5"
"USC00027390","2007-10","1.0"
"USC00027390","2007-11",
"USC00027390","2007-12","9.1"
"USC00027390","2008-01","6.4"
"USC00027390","2008-02","7.6"
"USC00027390","2008-03","0.0"
"USC00027390","2008-04","0.0"
"USC00027390","2008-05","9.9"
"USC00027390","2008-06","1.3"
"USC00027390","2008-07","19.3"
"USC00027390","2008-08","14.7"
"USC00027390","2008-09","46.7"
"USC00027390","2008-10","4.6"
"USC00027390","2008-11","5.8"
"USC00027390","2008-12","5.1"
"USC00027390","2009-01","5.3"
"USC00027390","2009-02","3.3"
"USC00027390","2009-03","5.3"
"USC00027390","2009-04","0.5"
"USC00027390","2009-05","5.3"
"USC00027390","2009-06","2.3"
"USC00027390","2009-07","4.1"
"USC00027390","2009-08","14.2"
"USC00027390","2009-09","5.1"
"USC00027390","2009-10","2.8"
"USC00027390","2009-11","8.4"
"USC00027390","2009-12","8.1"
"USC00027390","2010-01","23.4"
"USC00027390","2010-02","12.2"
"USC00027390","2010-03","6.4"
"USC00027390","2010-04","1.3"
"USC00027390","2010-05","0.5"
"USC00027390","2010-06","6.4"
"USC00027390","2010-07","20.8"
"USC00027390","2010-08","29.5"
"USC00027390","2010-09","6.4"
"USC00027390","2010-10","5.8"
"USC00027390","2010-11","0.0"
"USC00027390","2010-12","8.4"
"USC00027390","2011-01","0.0"
"USC00027390","2011-02","3.3"
"USC00027390","2011-03","1.0"
"USC00027390","2011-04","0.0"
"USC00027390","2011-05","0.0"
"USC00027390","2011-06","6.1"
"USC00027390","2011-07","4.8"
"USC00027390","2011-08","11.7"
"USC00027390","2011-09","12.2"
"USC00027390","2011-10","1.3"
"USC00027390","2011-11","1.3"
"USC00027390","2011-12","10.7"
"USC00027390","2012-01","3.6"
"USC00027390","2012-02","14.5"
"USC00027390","2012-03","1.8"
"USC00027390","2012-04","2.8"
"USC00027390","2012-05","1.0"
"USC00027390","2012-06","0.0"
"USC00027390","2012-07","25.7"
"USC00027390","2012-08","26.9"
"USC00027390","2012-09","16.0"
"USC00027390","2012-10","0.5"
"USC00027390","2012-11","3.0"
"USC00027390","2012-12","12.4"
"USC00027390","2013-01","4.1"
"USC00027390","2013-02","2.0"
"USC00027390","2013-03","1.5"
"USC00027390","2013-04","1.0"
"USC00027390","2013-05","1.0"
"USC00027390","2013-06","0.0"
"USC00027390","2013-07","22.9"
"USC00027390","2013-08","3.8"
"USC00027390","2013-09","23.6"
"USC00027390","2013-10","0.0"
"USC00027390","2013-11","15.2"
"USC00027390","2013-12","3.6"
"USC00027390","2014-01","0.0"
"USC00027390","2014-02","0.0"
"USC00027390","2014-03","5.3"
"USC00027390","2014-04","0.0"
"USC00027390","2014-05","0.0"
"USC00027390","2014-06","0.0"
"USC00027390","2014-07","15.7"
"USC00027390","2014-08","9.4"
"USC00027390","2014-09","10.4"
"USC00027390","2014-10","35.8"
"USC00027390","2014-11","7.4"
"USC00027390","2014-12","13.0"
"USC00027390","2015-01","34.8"
"USC00027390","2015-02","4.3"
"USC00027390","2015-03","4.3"
"USC00027390","2015-04","6.6"
"USC00027390","2015-05","1.0"
"USC00027390","2015-06","12.4"
"USC00027390","2015-07","6.1"
"USC00027390","2015-08","39.4"
"USC00027390","2015-09","11.4"
"USC00027390","2015-10","6.6"
"USC00027390","2015-11","2.5"
"USC00027390","2015-12","9.1"
"USC00027390","2016-01","13.5"
"USC00027390","2016-02","4.3"
"USC00027390","2016-03","0.0"
"USC00027390","2016-04","14.0"
"USC00027390","2016-05","3.6"
"USC00027390","2016-06","27.2"
"USC00027390","2016-07","13.7"
"USC00027390","2016-08","32.0"
"USC00027390","2016-09","71.1"
"USC00027390","2016-10","52.1"
"USC00027390","2016-11","12.7"
"USC00027390","2016-12","13.5"
"USC00027390","2017-01","12.4"
"USC00027390","2017-02","1.5"
"USC00027390","2017-03","0.0"
"USC00027390","2017-04","0.0"
"USC00027390","2017-05","0.5"
"USC00027390","2017-06","4.3"
"USC00027390","2017-08","6.9"
"USC00027390","2017-09","1.5"
"USC00027390","2017-10","0.0"
"USC00027390","2017-11","0.0"
"USC00027390","2018-01","0.3"
"USC00027390","2018-02","24.1"
"USC00027390","2018-03","0.5"
"USC00027390","2018-04","0.0"
"USC00027390","2018-05","0.0"
"USC00027390","2018-06","4.8"
"USC00027390","2018-07","5.1"
"USC00027390","2018-08","14.2"
"USC00027390","2018-09","35.1"
"USC00027390","2018-10","12.7"
"USC00027390","2018-12","5.1"
"USC00027390","2019-01","5.1"
"USC00027390","2019-02","10.4"
"USC00027390","2019-03","18.3"
"USC00027390","2019-04","5.6"
"USC00027390","2019-06","0.0"
"USC00027390","2019-07","7.6"
"USC00027390","2019-08","8.6"
"USC00027390","2019-10","0.8"
"USC00027390","2019-11","24.1"
"USC00027390","2019-12","26.2"
"USC00027390","2020-01","6.9"
"USC00027390","2020-02","10.9"
"USC00027390","2020-03","13.7"
"USC00027390","2020-04","0.0"
"USC00027390","2020-05","0.0"
"USC00027390","2020-06","0.5"
"USC00027390","2020-08","5.3"
"USC00027390","2020-09","0.0"
"USC00027390","2020-10","0.0"
"USC00027390","2020-11","0.3"
"USC00027390","2020-12","12.4"
"USC00027390","2021-01","4.8"
"USC00027390","2021-02","4.1"
"USC00027390","2021-03","5.6"
"USC00027390","2021-04","0.0"
"USC00027390","2021-05","0.0"
"USC00027390","2021-06",
"USC00027390","2021-07","18.0"
"USC00027390","2021-08","29.5"
"USC00027390","2021-09","23.9"
"USC00027390","2021-11","0.5"
"USC00027390","2021-12","13.0"
"USC00027390","2022-01","5.8"
"USC00027390","2022-02","0.3"
"USC00027390","2022-03","5.1"
"USC00027390","2022-04","0.0"
"USC00027390","2022-05","0.0"
"USC00027390","2022-06","15.2"
"USC00027390","2022-07","21.3"
"USC00027390","2022-08","24.1"
"USC00027390","2022-09","2.8"
"USC00027390","2022-10","8.6"
"USC00027390","2022-11","0.0"
"USC00027390","2022-12","10.7"
"USC00027390","2023-01","6.9"
"USC00027390","2023-02","3.0"
"USC00027390","2023-03","2.8"
